ExpNum|Class|Method|Contract number|Contract kind|Closed?-BigintOn|Nodes-BigintOn|Closed?-BigintOff|Nodes-BigintOff
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||542||542
07|java.util.ArrayList|trimToSize()|0|N||1429||1429
08|java.util.ArrayList|trimToSize()|0|N||199||199
09|java.util.ArrayList|trimToSize()|0|N||226||226
11|java.util.ArrayList|trimToSize()|0|N||988||988
12|java.util.ArrayList|trimToSize()|0|N||2182||2182
13|java.util.ArrayList|trimToSize()|0|N|x|920|x|920
14|java.util.ArrayList|trimToSize()|0|N||1217||1217
15|java.util.ArrayList|trimToSize()|0|N|x|1769|x|1769
16|java.util.ArrayList|trimToSize()|0|N||2246||2373
17|java.util.ArrayList|trimToSize()|0|N||1381||1381
