ExpNum|Class|Method|Contract number|Contract kind|Closed?-MoreSeqRulesOn|Nodes-MoreSeqRulesOn|Closed?-MoreSeqRulesOff|Nodes-MoreSeqRulesOff
09|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
10|java.util.ArrayList|isEmpty()|0|L||153||153
11|java.util.ArrayList|isEmpty()|0|L||146||146
12|java.util.ArrayList|isEmpty()|0|L||110||110
13|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
14|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
15|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
18|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||1061
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|429|x|429
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||356||356
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N||7280||921
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|441|x|441
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|455|x|455
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|456
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1111|x|1111
10|java.util.ArrayList|rangeCheck(int)|0|L||1159||1159
11|java.util.ArrayList|rangeCheck(int)|0|L||742||742
12|java.util.ArrayList|rangeCheck(int)|0|L||700||700
13|java.util.ArrayList|rangeCheck(int)|0|L|x|963|x|963
14|java.util.ArrayList|rangeCheck(int)|0|L|x|1702|x|1702
15|java.util.ArrayList|rangeCheck(int)|0|L|x|1742|x|1742
18|java.util.ArrayList|rangeCheck(int)|0|L|x|1711|x|1711
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2154|x|2159
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2332||2350
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1644||1644
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||747||747
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1911|x|1911
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3385|x|3385
15|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3511|x|3511
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3388|x|3388
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N||98||98
07|java.util.ArrayList|size()|0|N|x|89|x|89
07|java.util.ArrayList|size()|1|N|x|104|x|104
08|java.util.ArrayList|size()|0|N|x|88|x|88
08|java.util.ArrayList|size()|1|N|x|108|x|108
09|java.util.ArrayList|size()|0|N|x|41|x|41
