ExpNum|Class|Method|Contract number|Contract kind|Closed?-ProofSplittingDelayed|Nodes-ProofSplittingDelayed|Closed?-ProofSplittingFree|Nodes-ProofSplittingFree
17|java.util.ArrayList|rangeCheck(int)|0|L||1159||1635
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1926
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2234|x|3388
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2384||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2129|x|3372
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||342||342
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||391||391
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2384||3436
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|3326
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2238|x|3511
15|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2504||3418
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|3326
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2350||3317
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|80|x|80
06|java.util.ArrayList|size()|1|N||100||100
07|java.util.ArrayList|size()|0|N|x|44|x|44
07|java.util.ArrayList|size()|1|N|x|67|x|67
08|java.util.ArrayList|size()|0|N|x|88|x|88
08|java.util.ArrayList|size()|1|N|x|108|x|108
09|java.util.ArrayList|size()|0|N||43||43
09|java.util.ArrayList|size()|1|N||46||46
10|java.util.ArrayList|size()|0|N||52||52
10|java.util.ArrayList|size()|1|N||55||55
11|java.util.ArrayList|size()|0|N||110||110
11|java.util.ArrayList|size()|1|N||94||94
12|java.util.ArrayList|size()|0|N|x|89|x|89
12|java.util.ArrayList|size()|1|N||98||98
13|java.util.ArrayList|size()|0|N|x|41|x|41
13|java.util.ArrayList|size()|1|N|x|62|x|62
14|java.util.ArrayList|size()|0|N|x|80|x|80
14|java.util.ArrayList|size()|1|N|x|112|x|112
15|java.util.ArrayList|size()|0|N||102||102
15|java.util.ArrayList|size()|1|N||107||107
16|java.util.ArrayList|size()|0|N|x|89|x|89
16|java.util.ArrayList|size()|1|N||98||98
17|java.util.ArrayList|size()|0|N||91||91
17|java.util.ArrayList|size()|1|N||85||85
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N|x|1649|x|1649
03|java.util.ArrayList|trimToSize()|0|N||2158||2373
06|java.util.ArrayList|trimToSize()|0|N||1254||1429
08|java.util.ArrayList|trimToSize()|0|N|x|1672|x|1672
09|java.util.ArrayList|trimToSize()|0|N||226||226
10|java.util.ArrayList|trimToSize()|0|N||354||354
11|java.util.ArrayList|trimToSize()|0|N||2062||2277
12|java.util.ArrayList|trimToSize()|0|N||1373||1373
13|java.util.ArrayList|trimToSize()|0|N|x|1181|x|1331
14|java.util.ArrayList|trimToSize()|0|N|x|1836|x|2129
15|java.util.ArrayList|trimToSize()|0|N||1949||2182
16|java.util.ArrayList|trimToSize()|0|N||1191||1191
17|java.util.ArrayList|trimToSize()|0|N||1754||1817
