ExpNum|Class|Method|Contract number|Contract kind|Closed?-LoopTreatmentInvariant|Nodes-LoopTreatmentInvariant|Closed?-LoopTreatmentLoopScopeInvariant|Nodes-LoopTreatmentLoopScopeInvariant
14|java.util.ArrayList|fastRemove(int)|0|N||9738||9738
16|java.util.ArrayList|fastRemove(int)|0|N|x|13899|x|13433
17|java.util.ArrayList|fastRemove(int)|0|N|x|10790|x|10866
18|java.util.ArrayList|fastRemove(int)|0|N|x|11398|x|11865
19|java.util.ArrayList|fastRemove(int)|0|N|x|17558|x|17546
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
07|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
10|java.util.ArrayList|isEmpty()|0|L||134||134
11|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
12|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
13|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
14|java.util.ArrayList|isEmpty()|0|L||122||122
16|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
17|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
18|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
19|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||6580
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|939
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||290||290
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|205|x|205
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N||162||162
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||8910||8910
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1020|x|1020
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|8431|x|8431
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||239||239
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
19|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|455|x|455
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
06|java.util.ArrayList|rangeCheck(int)|0|L||826||826
08|java.util.ArrayList|rangeCheck(int)|0|L||431||431
10|java.util.ArrayList|rangeCheck(int)|0|L||712||712
12|java.util.ArrayList|rangeCheck(int)|0|L|x|1139|x|1139
13|java.util.ArrayList|rangeCheck(int)|0|L|x|955|x|955
14|java.util.ArrayList|rangeCheck(int)|0|L||740||740
19|java.util.ArrayList|rangeCheck(int)|0|L|x|1742|x|1742
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1580||1580
08|java.util.ArrayList|rangeCheckForAdd(int)|0|L||460||460
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||758||758
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2213|x|2213
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1926|x|1926
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1463||1463
19|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3511|x|3516
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N||98||98
07|java.util.ArrayList|size()|0|N|x|41|x|41
07|java.util.ArrayList|size()|1|N|x|62|x|62
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N|x|67|x|67
10|java.util.ArrayList|size()|0|N||82||82
10|java.util.ArrayList|size()|1|N||85||85
11|java.util.ArrayList|size()|0|N|x|80|x|80
11|java.util.ArrayList|size()|1|N|x|103|x|103
12|java.util.ArrayList|size()|0|N|x|89|x|89
12|java.util.ArrayList|size()|1|N|x|104|x|104
13|java.util.ArrayList|size()|0|N|x|41|x|41
13|java.util.ArrayList|size()|1|N||61||61
14|java.util.ArrayList|size()|0|N||90||90
14|java.util.ArrayList|size()|1|N||94||94
16|java.util.ArrayList|size()|0|N|x|88|x|88
16|java.util.ArrayList|size()|1|N|x|108|x|108
17|java.util.ArrayList|size()|0|N|x|88|x|88
17|java.util.ArrayList|size()|1|N|x|108|x|108
18|java.util.ArrayList|size()|0|N|x|88|x|88
18|java.util.ArrayList|size()|1|N|x|108|x|108
19|java.util.ArrayList|size()|0|N|x|80|x|80
19|java.util.ArrayList|size()|1|N|x|112|x|112
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2373||2373
06|java.util.ArrayList|trimToSize()|0|N||1009||1009
08|java.util.ArrayList|trimToSize()|0|N||721||721
10|java.util.ArrayList|trimToSize()|0|N||422||422
12|java.util.ArrayList|trimToSize()|0|N||1318||1318
13|java.util.ArrayList|trimToSize()|0|N||222||222
14|java.util.ArrayList|trimToSize()|0|N||1518||1518
16|java.util.ArrayList|trimToSize()|0|N|x|1680|x|1680
17|java.util.ArrayList|trimToSize()|0|N|x|1672|x|1672
19|java.util.ArrayList|trimToSize()|0|N||1940||1940
