ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
17|java.util.ArrayList|add(java.lang.Object)|1|N|x|2344|x|4745
17|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|2810
18|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|1144
18|java.util.ArrayList|add(java.lang.Object)|0|L|x|2915|x|3162
18|java.util.ArrayList|add(java.lang.Object)|0|N|x|14309|x|14657
18|java.util.ArrayList|add(java.lang.Object)|1|N|x|3073|x|4804
18|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|4747
19|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|1167
19|java.util.ArrayList|add(java.lang.Object)|0|L|x|2909|x|3159
19|java.util.ArrayList|add(java.lang.Object)|1|N|x|3077|x|4805
19|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|4682
01|java.util.ArrayList|clear()|0|L||462||466
01|java.util.ArrayList|clear()|0|N||484||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|2267
02|java.util.ArrayList|clear()|0|N||1711||2305
03|java.util.ArrayList|clear()|0|L|x|1983|x|2516
03|java.util.ArrayList|clear()|0|N|x|1988|x|2548
04|java.util.ArrayList|clear()|0|L|x|1132|x|1680
04|java.util.ArrayList|clear()|0|N|x|1144|x|1424
05|java.util.ArrayList|clear()|0|L|x|1132|x|1680
06|java.util.ArrayList|clear()|0|L||1228||1223
06|java.util.ArrayList|clear()|0|N||1564||1525
07|java.util.ArrayList|clear()|0|L|x|1127|x|1712
07|java.util.ArrayList|clear()|0|N|x|1109|x|1724
08|java.util.ArrayList|clear()|0|L|x|1980|x|2516
08|java.util.ArrayList|clear()|0|N|x|1991|x|2571
09|java.util.ArrayList|clear()|0|L|x|1724|x|2270
10|java.util.ArrayList|clear()|0|L|x|1243|x|1823
10|java.util.ArrayList|clear()|0|N||308||301
11|java.util.ArrayList|clear()|0|L||1037||1030
11|java.util.ArrayList|clear()|0|N||1356||1343
12|java.util.ArrayList|clear()|0|L|x|1731|x|2267
12|java.util.ArrayList|clear()|0|N||2114||2711
13|java.util.ArrayList|clear()|0|L||371||366
13|java.util.ArrayList|clear()|0|N||332||324
14|java.util.ArrayList|clear()|0|L||934||922
14|java.util.ArrayList|clear()|0|N||917||896
15|java.util.ArrayList|clear()|0|L|x|1735|x|2266
16|java.util.ArrayList|clear()|0|L|x|1714|x|2227
16|java.util.ArrayList|clear()|0|N||2118||2642
17|java.util.ArrayList|clear()|0|L|x|1731|x|2267
17|java.util.ArrayList|clear()|0|N||2114||2711
18|java.util.ArrayList|clear()|0|L||1037||1030
18|java.util.ArrayList|clear()|0|N||1356||1343
01|java.util.ArrayList|ensureCapacity(int)|0|N||155||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||228||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||4276
03|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
04|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|237
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||294||300
06|java.util.ArrayList|ensureCapacity(int)|1|N||1938||2323
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|237
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
09|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
10|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|237
10|java.util.ArrayList|ensureCapacity(int)|1|N||745||754
11|java.util.ArrayList|ensureCapacity(int)|0|N||294||300
11|java.util.ArrayList|ensureCapacity(int)|1|N||2363||2604
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
13|java.util.ArrayList|ensureCapacity(int)|0|N||136||143
13|java.util.ArrayList|ensureCapacity(int)|1|N||228||237
14|java.util.ArrayList|ensureCapacity(int)|0|N||271||277
14|java.util.ArrayList|ensureCapacity(int)|1|N||1831||2031
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
16|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
17|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|374
18|java.util.ArrayList|ensureCapacity(int)|0|N||294||300
18|java.util.ArrayList|ensureCapacity(int)|1|N||2183||2551
01|java.util.ArrayList|fastRemove(int)|0|N||288||290
06|java.util.ArrayList|fastRemove(int)|0|N||2566||2922
10|java.util.ArrayList|fastRemove(int)|0|N||1877||2253
13|java.util.ArrayList|fastRemove(int)|0|N||281||283
18|java.util.ArrayList|fastRemove(int)|0|N||2669||3008
01|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
03|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
04|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
05|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|111
07|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
09|java.util.ArrayList|isEmpty()|0|L|x|115|x|111
10|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
11|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
12|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
13|java.util.ArrayList|isEmpty()|0|L|x|47|x|44
14|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
15|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
16|java.util.ArrayList|isEmpty()|0|L|x|115|x|111
17|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
18|java.util.ArrayList|isEmpty()|0|L|x|114|x|111
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|798|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||6465
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|455
04|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|268|x|242
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|912|x|939
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|429|x|440
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|453|x|463
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||162||162
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|441
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|455
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N||150||148
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||293||295
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|458
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|455
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|441
01|java.util.ArrayList|rangeCheck(int)|0|L|x|674|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||835
03|java.util.ArrayList|rangeCheck(int)|0|L|x|1711|x|1742
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1665|x|1686
10|java.util.ArrayList|rangeCheck(int)|0|L||431||418
11|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1077
12|java.util.ArrayList|rangeCheck(int)|0|L|x|1145|x|1121
13|java.util.ArrayList|rangeCheck(int)|0|L||404||385
14|java.util.ArrayList|rangeCheck(int)|0|L||829||795
16|java.util.ArrayList|rangeCheck(int)|0|L|x|1706|x|1735
17|java.util.ArrayList|rangeCheck(int)|0|L|x|1711|x|1742
18|java.util.ArrayList|rangeCheck(int)|0|L|x|1678|x|1688
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1318|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1650
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3388|x|3511
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3307|x|3372
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||460||464
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|2138
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2234|x|2238
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||423||414
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1587||1570
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3374|x|3518
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3388|x|3511
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3326|x|3385
01|java.util.ArrayList|size()|0|N|x|44|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|80
02|java.util.ArrayList|size()|1|N|x|104|x|112
03|java.util.ArrayList|size()|0|N|x|89|x|80
03|java.util.ArrayList|size()|1|N|x|104|x|112
04|java.util.ArrayList|size()|0|N|x|44|x|41
04|java.util.ArrayList|size()|1|N|x|62|x|62
05|java.util.ArrayList|size()|0|N|x|44|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|80
06|java.util.ArrayList|size()|1|N||98||100
07|java.util.ArrayList|size()|0|N|x|44|x|41
07|java.util.ArrayList|size()|1|N|x|67|x|62
08|java.util.ArrayList|size()|0|N|x|88|x|80
08|java.util.ArrayList|size()|1|N|x|108|x|103
09|java.util.ArrayList|size()|0|N|x|89|x|80
09|java.util.ArrayList|size()|1|N|x|104|x|106
10|java.util.ArrayList|size()|0|N|x|44|x|41
10|java.util.ArrayList|size()|1|N|x|67|x|67
11|java.util.ArrayList|size()|0|N|x|89|x|80
11|java.util.ArrayList|size()|1|N||98||102
12|java.util.ArrayList|size()|0|N|x|89|x|80
12|java.util.ArrayList|size()|1|N|x|104|x|112
13|java.util.ArrayList|size()|0|N|x|44|x|41
13|java.util.ArrayList|size()|1|N||61||61
14|java.util.ArrayList|size()|0|N|x|89|x|80
14|java.util.ArrayList|size()|1|N||98||102
15|java.util.ArrayList|size()|0|N|x|88|x|80
15|java.util.ArrayList|size()|1|N|x|108|x|103
16|java.util.ArrayList|size()|0|N|x|89|x|80
16|java.util.ArrayList|size()|1|N|x|104|x|106
17|java.util.ArrayList|size()|0|N|x|89|x|80
17|java.util.ArrayList|size()|1|N|x|104|x|112
18|java.util.ArrayList|size()|0|N|x|89|x|80
18|java.util.ArrayList|size()|1|N||98||102
01|java.util.ArrayList|trimToSize()|0|N||219||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1536
03|java.util.ArrayList|trimToSize()|0|N|x|1649|x|2129
06|java.util.ArrayList|trimToSize()|0|N||1130||1429
08|java.util.ArrayList|trimToSize()|0|N|x|1672|x|2092
10|java.util.ArrayList|trimToSize()|0|N||721||876
11|java.util.ArrayList|trimToSize()|0|N||1373||1461
12|java.util.ArrayList|trimToSize()|0|N||1452||1647
13|java.util.ArrayList|trimToSize()|0|N||199||202
14|java.util.ArrayList|trimToSize()|0|N||1071||1217
15|java.util.ArrayList|trimToSize()|0|N|x|1680|x|1769
16|java.util.ArrayList|trimToSize()|0|N||1318||1784
17|java.util.ArrayList|trimToSize()|0|N|x|1680|x|2159
18|java.util.ArrayList|trimToSize()|0|N||1191||1510
