ExpNum|Class|Method|Contract number|Contract kind|Closed?-StopAtDefault|Nodes-StopAtDefault|Closed?-StopAtUnclosable|Nodes-StopAtUnclosable
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2373||542
06|java.util.ArrayList|trimToSize()|0|N||1009||359
07|java.util.ArrayList|trimToSize()|0|N||1429||395
09|java.util.ArrayList|trimToSize()|0|N||1266||343
11|java.util.ArrayList|trimToSize()|0|N||1217||384
12|java.util.ArrayList|trimToSize()|0|N|x|920|x|920
13|java.util.ArrayList|trimToSize()|0|N||1755||422
14|java.util.ArrayList|trimToSize()|0|N||1452||1443
15|java.util.ArrayList|trimToSize()|0|N|x|1769|x|1769
16|java.util.ArrayList|trimToSize()|0|N||1784||1775
18|java.util.ArrayList|trimToSize()|0|N||2246||542
19|java.util.ArrayList|trimToSize()|0|N||1817||422
