ExpNum|Class|Method|Contract number|Contract kind|Closed?-SequencesOn|Nodes-SequencesOn|Closed?-SequencesOff|Nodes-SequencesOff
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3368|x|3372
07|java.util.ArrayList|rangeCheckForAdd(int)|0|L||333||333
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||772||772
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||391||391
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||850||850
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2213|x|2217
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3511|x|3511
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
04|java.util.ArrayList|size()|0|N|x|44|x|44
04|java.util.ArrayList|size()|1|N|x|67|x|67
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|80|x|80
06|java.util.ArrayList|size()|1|N||100||100
07|java.util.ArrayList|size()|0|N||42||42
07|java.util.ArrayList|size()|1|N||45||45
08|java.util.ArrayList|size()|0|N|x|88|x|88
08|java.util.ArrayList|size()|1|N|x|108|x|108
10|java.util.ArrayList|size()|0|N|x|44|x|44
10|java.util.ArrayList|size()|1|N||61||61
11|java.util.ArrayList|size()|0|N||52||52
11|java.util.ArrayList|size()|1|N||55||55
12|java.util.ArrayList|size()|0|N|x|80|x|80
12|java.util.ArrayList|size()|1|N||102||102
13|java.util.ArrayList|size()|0|N|x|89|x|89
13|java.util.ArrayList|size()|1|N|x|104|x|104
14|java.util.ArrayList|size()|0|N|x|80|x|80
14|java.util.ArrayList|size()|1|N|x|112|x|112
16|java.util.ArrayList|size()|0|N|x|80|x|80
16|java.util.ArrayList|size()|1|N|x|103|x|103
17|java.util.ArrayList|size()|0|N|x|88|x|88
17|java.util.ArrayList|size()|1|N|x|108|x|108
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2277||2277
06|java.util.ArrayList|trimToSize()|0|N||1429||1429
07|java.util.ArrayList|trimToSize()|0|N||190||190
10|java.util.ArrayList|trimToSize()|0|N||406||406
11|java.util.ArrayList|trimToSize()|0|N||354||354
12|java.util.ArrayList|trimToSize()|0|N||384||384
13|java.util.ArrayList|trimToSize()|0|N||1318||1318
14|java.util.ArrayList|trimToSize()|0|N|x|2159|x|2159
16|java.util.ArrayList|trimToSize()|0|N|x|2065|x|2065
