ExpNum|Class|Method|Contract number|Contract kind|Closed?-OneStepSimplificationEnabled|Nodes-OneStepSimplificationEnabled|Closed?-OneStepSimplificationDisabled|Nodes-OneStepSimplificationDisabled
16|java.util.ArrayList|size()|0|N||71||102
16|java.util.ArrayList|size()|1|N||77||107
17|java.util.ArrayList|size()|0|N||42||81
17|java.util.ArrayList|size()|1|N||45||85
18|java.util.ArrayList|size()|0|N||76||110
18|java.util.ArrayList|size()|1|N||77||94
01|java.util.ArrayList|trimToSize()|0|N||222||408
02|java.util.ArrayList|trimToSize()|0|N||721||1340
03|java.util.ArrayList|trimToSize()|0|N||1512||2373
06|java.util.ArrayList|trimToSize()|0|N||202||388
08|java.util.ArrayList|trimToSize()|0|N|x|934|x|1672
10|java.util.ArrayList|trimToSize()|0|N||1019||1692
11|java.util.ArrayList|trimToSize()|0|N||190||374
12|java.util.ArrayList|trimToSize()|0|N||1004||1775
13|java.util.ArrayList|trimToSize()|0|N||1051||1755
14|java.util.ArrayList|trimToSize()|0|N|x|1181|x|1769
15|java.util.ArrayList|trimToSize()|0|N||818||1452
16|java.util.ArrayList|trimToSize()|0|N||1266||1949
17|java.util.ArrayList|trimToSize()|0|N||579||1179
18|java.util.ArrayList|trimToSize()|0|N||1428||2246
