ExpNum|Class|Method|Contract number|Contract kind|Closed?-IntegerSimplificationRulesFull|Nodes-IntegerSimplificationRulesFull|Closed?-IntegerSimplificationRulesMinimal|Nodes-IntegerSimplificationRulesMinimal
17|java.util.ArrayList|ensureCapacity(int)|0|N||451||438
18|java.util.ArrayList|ensureCapacity(int)|0|N||361||354
18|java.util.ArrayList|ensureCapacity(int)|1|N||4223||4172
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
06|java.util.ArrayList|fastRemove(int)|0|N||2922||2914
09|java.util.ArrayList|fastRemove(int)|0|N||3990||4128
11|java.util.ArrayList|fastRemove(int)|0|N||2545||2544
12|java.util.ArrayList|fastRemove(int)|0|N||456||456
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|116
03|java.util.ArrayList|isEmpty()|0|L||171||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
07|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|116
09|java.util.ArrayList|isEmpty()|0|L||172||176
11|java.util.ArrayList|isEmpty()|0|L|x|114|x|116
12|java.util.ArrayList|isEmpty()|0|L||113||113
13|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
14|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
15|java.util.ArrayList|isEmpty()|0|L||119||119
16|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
17|java.util.ArrayList|isEmpty()|0|L||171||171
18|java.util.ArrayList|isEmpty()|0|L||153||153
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|994
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||512
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|907
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|440|x|438
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||475||475
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|435
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N||225||225
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|278|x|278
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||309||309
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|458|x|459
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||512
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||464
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|654
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||1744
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1686|x|1689
09|java.util.ArrayList|rangeCheck(int)|0|L||1144||1144
11|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1118
12|java.util.ArrayList|rangeCheck(int)|0|L||705||703
13|java.util.ArrayList|rangeCheck(int)|0|L|x|708|x|702
14|java.util.ArrayList|rangeCheck(int)|0|L||835||839
15|java.util.ArrayList|rangeCheck(int)|0|L||740||736
17|java.util.ArrayList|rangeCheck(int)|0|L||1729||1744
18|java.util.ArrayList|rangeCheck(int)|0|L||1635||1637
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1302
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3463
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3372|x|3368
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2260||2270
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|2158
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||748||739
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1370|x|1376
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1650||1653
15|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1470||1455
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3463
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||3301
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||90
03|java.util.ArrayList|size()|1|N||94||101
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|80|x|80
06|java.util.ArrayList|size()|1|N||100||100
07|java.util.ArrayList|size()|0|N|x|44|x|44
07|java.util.ArrayList|size()|1|N|x|67|x|67
08|java.util.ArrayList|size()|0|N|x|88|x|89
08|java.util.ArrayList|size()|1|N|x|108|x|108
09|java.util.ArrayList|size()|0|N||93||101
09|java.util.ArrayList|size()|1|N||98||90
11|java.util.ArrayList|size()|0|N|x|89|x|89
11|java.util.ArrayList|size()|1|N||98||98
12|java.util.ArrayList|size()|0|N||81||81
12|java.util.ArrayList|size()|1|N||85||85
13|java.util.ArrayList|size()|0|N|x|44|x|44
13|java.util.ArrayList|size()|1|N|x|67|x|67
14|java.util.ArrayList|size()|0|N|x|80|x|80
14|java.util.ArrayList|size()|1|N|x|112|x|107
15|java.util.ArrayList|size()|0|N||87||87
15|java.util.ArrayList|size()|1|N||91||91
16|java.util.ArrayList|size()|0|N|x|80|x|80
