ExpNum|Class|Method|Contract number|Contract kind|Closed?-StringsOn|Nodes-StringsOn|Closed?-StringsOff|Nodes-StringsOff
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||268||268
06|java.util.ArrayList|ensureCapacity(int)|1|N||405||405
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
09|java.util.ArrayList|ensureCapacity(int)|0|N||139||139
09|java.util.ArrayList|ensureCapacity(int)|1|N||617||617
10|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
11|java.util.ArrayList|ensureCapacity(int)|0|N||391||391
11|java.util.ArrayList|ensureCapacity(int)|1|N||972||972
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
13|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
13|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
16|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
16|java.util.ArrayList|ensureCapacity(int)|1|N||2183||2183
17|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
18|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
06|java.util.ArrayList|fastRemove(int)|0|N||424||424
09|java.util.ArrayList|fastRemove(int)|0|N||710||710
11|java.util.ArrayList|fastRemove(int)|0|N||2810||2810
13|java.util.ArrayList|fastRemove(int)|0|N||290||290
16|java.util.ArrayList|fastRemove(int)|0|N||2669||2669
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L||129||129
07|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
09|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
10|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
11|java.util.ArrayList|isEmpty()|0|L||122||122
12|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
13|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
14|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
16|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
17|java.util.ArrayList|isEmpty()|0|L||171||171
18|java.util.ArrayList|isEmpty()|0|L||171||171
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|811|x|1029
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||233||233
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|253|x|253
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||884||769
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|458|x|458
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6224||5668
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|235|x|235
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|431
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
06|java.util.ArrayList|rangeCheck(int)|0|L||706||706
09|java.util.ArrayList|rangeCheck(int)|0|L||402||402
11|java.util.ArrayList|rangeCheck(int)|0|L||733||733
12|java.util.ArrayList|rangeCheck(int)|0|L|x|992|x|992
13|java.util.ArrayList|rangeCheck(int)|0|L|x|955|x|955
16|java.util.ArrayList|rangeCheck(int)|0|L|x|1678|x|1678
17|java.util.ArrayList|rangeCheck(int)|0|L||1229||1250
18|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||756||756
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||772||772
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||798||798
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2013|x|2013
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1926|x|1926
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3326|x|3329
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2466||2384
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N||83||83
06|java.util.ArrayList|size()|1|N||87||87
07|java.util.ArrayList|size()|0|N|x|44|x|44
07|java.util.ArrayList|size()|1|N|x|67|x|67
08|java.util.ArrayList|size()|0|N|x|88|x|88
08|java.util.ArrayList|size()|1|N|x|108|x|108
09|java.util.ArrayList|size()|0|N|x|44|x|44
09|java.util.ArrayList|size()|1|N||61||61
10|java.util.ArrayList|size()|0|N|x|80|x|80
10|java.util.ArrayList|size()|1|N|x|103|x|103
11|java.util.ArrayList|size()|0|N||90||90
11|java.util.ArrayList|size()|1|N||94||94
12|java.util.ArrayList|size()|0|N|x|41|x|41
12|java.util.ArrayList|size()|1|N|x|62|x|62
13|java.util.ArrayList|size()|0|N|x|41|x|41
13|java.util.ArrayList|size()|1|N||61||61
14|java.util.ArrayList|size()|0|N|x|88|x|88
14|java.util.ArrayList|size()|1|N|x|108|x|108
16|java.util.ArrayList|size()|0|N|x|89|x|89
16|java.util.ArrayList|size()|1|N||98||98
17|java.util.ArrayList|size()|0|N||110||110
17|java.util.ArrayList|size()|1|N||94||94
18|java.util.ArrayList|size()|0|N||110||110
18|java.util.ArrayList|size()|1|N||94||94
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2373||2373
06|java.util.ArrayList|trimToSize()|0|N||402||402
08|java.util.ArrayList|trimToSize()|0|N|x|1672|x|1672
09|java.util.ArrayList|trimToSize()|0|N||406||406
11|java.util.ArrayList|trimToSize()|0|N||484||484
12|java.util.ArrayList|trimToSize()|0|N||1004||1004
13|java.util.ArrayList|trimToSize()|0|N||222||222
14|java.util.ArrayList|trimToSize()|0|N|x|1672|x|1672
16|java.util.ArrayList|trimToSize()|0|N||1191||1191
17|java.util.ArrayList|trimToSize()|0|N||2158||2158
18|java.util.ArrayList|trimToSize()|0|N||2277||2277
